Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Charlotte, NC, United States",Jan-20,71.3,24.4,47.2,13.1,,4.37,0,0,22.6,36,8.8,51.3,64.98
"Charlotte, NC, United States",Feb-20,74.1,24.3,49.1,20.4,,5.51,0,0,22.6,37.8,9,58.7,65.56
"Charlotte, NC, United States",Mar-20,86.4,25.5,58.8,26.5,86,3.51,0,0,22.9,41.6,9.1,62.4,63.34
"Charlotte, NC, United States",Apr-20,84.2,34.7,61.1,36.4,83.6,6.98,0,0,24.7,40.7,9.5,43.3,56.67
"Charlotte, NC, United States",May-20,87.6,38.7,65.8,37.2,90,6.43,0,0,18,43.6,9.1,54.4,68.22
"Charlotte, NC, United States",Jun-20,90.9,56.9,75.3,,95.2,2.68,0,0,23,35.8,9.5,54,69.95
"Charlotte, NC, United States",Jul-20,95.4,65.9,80.9,,104.2,2.88,0,0,17.3,40,9.7,44.2,69.99
"Charlotte, NC, United States",Aug-20,93.5,66.3,78.6,,98.6,3.71,0,0,19.9,36.7,9.6,53.4,74.94
"Charlotte, NC, United States",Sep-20,92.2,44.7,71.2,43,101.4,4.1,0,0,18.5,35,9.1,53.6,74.76
"Charlotte, NC, United States",Oct-20,84.6,42.7,64.7,37.9,87.4,5.67,0,0,31.4,49.8,8.8,52.2,75.46
"Charlotte, NC, United States",Nov-20,80.8,31.2,56.8,27.7,85.1,5.78,0,0,19.1,30.5,9,49.6,69.89
"Charlotte, NC, United States",Dec-20,69.4,19.2,44.1,14.9,,2.78,0,0,16.5,33.7,9,53,68.42
"Charlotte, NC, United States",Jan-21,60.3,23.6,42.7,17.2,,3.87,0,0,23.4,34.7,8.1,58.7,70.13
"Charlotte, NC, United States",Feb-21,75.8,25,44,20.3,,4.79,0.01,0.01,17.5,31.6,8,66.1,69.63
"Charlotte, NC, United States",Mar-21,80.2,26.9,56.3,25.4,82.1,4.05,0,0,26.3,36.2,9,60.5,56.97
"Charlotte, NC, United States",Apr-21,83.6,28.1,61.6,25.4,83.3,1.42,0,0,19.5,35,9.7,43.3,53.41
"Charlotte, NC, United States",May-21,91.7,42.2,68.4,39,94.4,1.8,0,0,24,38.6,9.5,59.9,62.61
"Charlotte, NC, United States",Jun-21,91.1,52.9,76.2,,97,3.32,0,0,17,27.7,9.6,63.8,71.66
"Charlotte, NC, United States",Jul-21,93.5,59.1,79.1,,100.4,4.06,0,0,18.5,40.7,9,54.1,71.86
"Charlotte, NC, United States",Aug-21,95.8,62.1,79.1,,101.5,3.16,0,0,21.5,42.5,9.2,51.4,73.97
"Charlotte, NC, United States",Sep-21,88.7,47.7,72.2,47.7,92,2.43,0,0,15.9,25.3,9.4,44.1,71.49
"Charlotte, NC, United States",Oct-21,86.5,40.1,66,39.4,85.2,1.03,0,0,17,27.3,9.5,53.5,72.64
"Charlotte, NC, United States",Nov-21,78.1,25.6,49.9,21.7,,0.95,0,0,17.3,30.5,9.7,38.3,58.18
"Charlotte, NC, United States",Dec-21,76.9,26.4,53.5,20.8,,2.06,0,0,20.6,32.2,9.1,56.3,68.05
"Charlotte, NC, United States",Jan-22,76,19.3,41.1,12,,3.91,1.62,0.86,25.9,41,9.4,51.9,58.97
"Charlotte, NC, United States",Feb-22,73,26,48.5,17.8,,2.39,0,0,28.3,45,8.6,52.4,63.33
"Charlotte, NC, United States",Mar-22,84.2,21.4,56.6,16.1,81.3,5.4,0,0,23.5,38.3,9.2,54,57.25
"Charlotte, NC, United States",Apr-22,82.7,34.1,62.2,31.3,83.1,3.08,0,0,21.8,33.3,9.7,47.9,55.72
"Charlotte, NC, United States",May-22,92.7,45.5,71.3,41.9,93.5,2.58,0,0,19.8,34.4,9.5,57,67.63
"Charlotte, NC, United States",Jun-22,100.4,58,78.6,,106.7,1.13,0,0,17.2,33.3,9.8,55.9,60.9
"Charlotte, NC, United States",Jul-22,96.1,66.5,80,,105.5,5.13,0,0,23.2,42.3,9.3,63.4,75.7
"Charlotte, NC, United States",Aug-22,93.4,64,77.5,,98.2,2.27,0,0,16.8,57.7,9.5,62,74.77
"Charlotte, NC, United States",Sep-22,93.5,48.8,71.6,47.7,96,4.4,0,0,26.3,41.7,9.4,48.9,68.72
"Charlotte, NC, United States",Oct-22,80.8,32.3,59.2,30.7,80,0.81,0,0,16.9,30,9.4,45.8,66.93
"Charlotte, NC, United States",Nov-22,82.1,25.5,54.8,23.1,83.8,5.25,0,0,21.9,140.5,9,57.9,65.62
"Charlotte, NC, United States",Dec-22,67.8,9.1,43.1,-2.7,,4.26,0,0,27.6,46.1,8.2,65.2,69.58
"Charlotte, NC, United States",Jan-23,71.7,25,48.7,19.9,,5.26,0,0,38.4,42.1,8.6,62.7,69.59
"Charlotte, NC, United States",Feb-23,79.2,27.3,54.1,21,,2.91,0,0,21.4,32.7,9.1,64.8,64.35
"Charlotte, NC, United States",Mar-23,74.9,43.1,60.1,41.4,,0.45,0,0,23.8,35.2,9.4,52,63.42
